"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 02, 2020","1,193.30","1,186.40","1,193.38","1,179.68","207.74M","0.61%"
"Jun 01, 2020","1,186.09","1,189.26","1,191.59","1,178.53","207.25M","-1.01%"
"May 29, 2020","1,198.14","1,186.81","1,199.83","1,172.86","300.28M","1.27%"
"May 28, 2020","1,183.11","1,177.02","1,195.31","1,177.02","189.88M","1.26%"
"May 27, 2020","1,168.41","1,156.87","1,168.41","1,140.49","217.64M","1.05%"
"May 26, 2020","1,156.27","1,168.30","1,176.24","1,154.55","219.32M","-0.19%"
"May 22, 2020","1,158.51","1,155.46","1,159.05","1,150.04","161.61M","0.19%"
"May 21, 2020","1,156.32","1,164.38","1,164.38","1,150.31","184.26M","-0.81%"
"May 20, 2020","1,165.78","1,170.98","1,176.99","1,162.86","188.78M","0.12%"
"May 19, 2020","1,164.35","1,176.40","1,180.29","1,163.99","171.01M","-1.21%"
"May 18, 2020","1,178.58","1,184.38","1,195.68","1,177.61","215.58M","0.94%"
"May 15, 2020","1,167.63","1,156.04","1,169.35","1,152.90","255.68M","0.73%"
"May 14, 2020","1,159.19","1,139.46","1,159.19","1,135.58","199.08M","1.07%"
"May 13, 2020","1,146.87","1,158.24","1,166.32","1,137.47","221.81M","-1.10%"
"May 12, 2020","1,159.62","1,181.12","1,184.83","1,159.42","198.68M","-1.49%"
"May 11, 2020","1,177.17","1,155.61","1,179.33","1,153.39","201.82M","1.70%"
"May 08, 2020","1,157.47","1,159.49","1,163.13","1,153.66","194.24M","0.54%"
"May 07, 2020","1,151.26","1,158.87","1,162.12","1,150.00","211.90M","-0.05%"
"May 06, 2020","1,151.78","1,166.50","1,169.40","1,151.78","201.89M","-0.98%"
"May 05, 2020","1,163.21","1,148.02","1,171.79","1,146.61","187.42M","2.15%"
"May 04, 2020","1,138.72","1,137.80","1,141.18","1,128.83","174.24M","0.07%"
"May 01, 2020","1,137.89","1,152.53","1,152.53","1,129.42","206.02M","-2.08%"
"Apr 30, 2020","1,162.03","1,164.30","1,169.13","1,155.80","277.54M","-0.44%"
"Apr 29, 2020","1,167.15","1,168.07","1,175.63","1,159.97","275.09M","0.74%"
"Apr 28, 2020","1,158.58","1,187.96","1,189.93","1,157.76","222.54M","-2.13%"
"Apr 27, 2020","1,183.79","1,173.44","1,188.11","1,173.44","195.76M","1.31%"
"Apr 24, 2020","1,168.43","1,158.91","1,170.04","1,152.10","182.66M","1.44%"
"Apr 23, 2020","1,151.83","1,151.80","1,170.34","1,151.09","248.06M","0.48%"
"Apr 22, 2020","1,146.31","1,143.09","1,151.70","1,138.48","201.66M","1.60%"
"Apr 21, 2020","1,128.23","1,150.26","1,150.72","1,126.93","229.50M","-3.14%"
"Apr 20, 2020","1,164.79","1,167.64","1,181.29","1,160.96","228.70M","-0.78%"
"Apr 17, 2020","1,173.93","1,170.26","1,175.80","1,157.87","325.68M","2.07%"
"Apr 16, 2020","1,150.15","1,133.15","1,152.86","1,130.59","233.53M","2.20%"
"Apr 15, 2020","1,125.42","1,121.34","1,131.75","1,110.27","207.80M","-0.52%"
"Apr 14, 2020","1,131.35","1,111.73","1,135.12","1,111.73","215.22M","3.31%"
"Apr 13, 2020","1,095.15","1,105.03","1,105.03","1,080.29","186.09M","-0.98%"
"Apr 09, 2020","1,106.01","1,100.14","1,111.56","1,095.56","243.94M","0.56%"
"Apr 08, 2020","1,099.88","1,061.43","1,105.40","1,051.62","230.60M","4.21%"
"Apr 07, 2020","1,055.49","1,085.42","1,093.29","1,055.00","263.02M","-0.93%"
"Apr 06, 2020","1,065.43","1,037.88","1,070.40","1,037.88","291.22M","5.40%"
"Apr 03, 2020","1,010.87","1,014.30","1,025.71","1,000.11","223.25M","-0.96%"
"Apr 02, 2020","1,020.68","988.14","1,022.95","978.90","242.51M","2.79%"
"Apr 01, 2020","993.02","1,002.69","1,007.31","984.01","237.35M","-3.86%"
"Mar 31, 2020","1,032.90","1,033.82","1,043.52","1,022.32","319.52M","-0.39%"
"Mar 30, 2020","1,036.98","1,007.29","1,038.81","1,007.29","296.72M","4.67%"
"Mar 27, 2020","990.69","995.14","1,016.60","983.05","269.84M","-2.41%"
"Mar 26, 2020","1,015.18","957.61","1,017.92","956.09","335.96M","6.98%"
"Mar 25, 2020","948.94","932.73","980.18","922.00","364.88M","1.27%"
"Mar 24, 2020","937.08","906.88","938.93","904.89","348.87M","7.59%"
